 c =    0.10000000000000E+03   0.10000000000000E+02; m =     0
      0
    0.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.10000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.20000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.30000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.40000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.50000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.60000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.70000000000000  -1.52869043657462 -0.29665748467374    -12  -1.49039808767701 -0.44783494552191    -10   2,  3
    0.80000000000000  -1.19909086177958 -3.00959266530378     -8  -0.89144682216874 -3.11273718391501     -6   6,  7
    0.90000000000000   3.93216220627928 -5.49782700557745     -4   4.46120253423353 -5.07559317486418     -2  10, 11
    1.00000000000000   1.41243150547048  0.07080169035653      1   1.39827143514522  0.21169173091034      3  13, 13
      1
    0.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0  15,  0
    0.10000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.20000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.30000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.40000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.50000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.60000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.70000000000000  -8.82793046127073 -1.71279104367674    -13  -8.60455343216882 -2.58549583408780    -11   2,  3
    0.80000000000000  -0.69229548136564 -1.73758913281701     -8  -0.51467707824796 -1.79713965333211     -6   6,  7
    0.90000000000000   2.27023490829473 -3.17417190162943     -4   2.57567648390186 -2.93039508579994     -2  10, 11
    1.00000000000000   8.15467709895292  0.40877374986424      0   8.07292389481257  1.22220277826302      2  13, 13
      2
    0.00000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.10000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.20000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.30000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.40000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
    0.50000000000000   0.00000000000000  0.00000000000000      0   0.00000000000000  0.00000000000000      0   0,  0
